internal_tx_id,amount,date,customer_id,location_id
INT_TX_000001,70.5,2024-08-07,CUST_039,LOC_004
INT_TX_000002,190.63,2024-08-03,CUST_062,LOC_008
INT_TX_000003,480.67,2024-08-02,CUST_033,LOC_004
INT_TX_000004,142.5,2024-08-07,CUST_095,LOC_019
INT_TX_000005,128.6,2024-08-04,CUST_033,LOC_009
INT_TX_000006,461.76,2024-08-07,CUST_012,LOC_016
INT_TX_000007,356.85,2024-08-01,CUST_093,LOC_004
INT_TX_000008,372.24,2024-08-02,CUST_054,LOC_011
INT_TX_000009,380.16,2024-08-07,CUST_045,LOC_012
INT_TX_000010,343.85,2024-08-07,CUST_013,LOC_011
INT_TX_000011,109.14,2024-08-06,CUST_032,LOC_008
INT_TX_000012,468.46,2024-08-06,CUST_007,LOC_007
INT_TX_000013,390.06,2024-08-06,CUST_090,LOC_010
INT_TX_000014,177.95,2024-08-06,CUST_037,LOC_003
INT_TX_000015,299.33,2024-08-06,CUST_022,LOC_013
INT_TX_000016,456.14,2024-08-05,CUST_017,LOC_015
INT_TX_000017,245.16,2024-08-04,CUST_007,LOC_005
INT_TX_000018,364.84,2024-08-06,CUST_098,LOC_003
INT_TX_000019,323.54,2024-08-07,CUST_011,LOC_015
INT_TX_000020,183.61,2024-08-04,CUST_002,LOC_018
INT_TX_000021,72.54,2024-08-02,CUST_082,LOC_014
INT_TX_000022,140.81,2024-08-06,CUST_016,LOC_008
INT_TX_000023,384.47,2024-08-05,CUST_060,LOC_018
INT_TX_000024,483.66,2024-08-06,CUST_087,LOC_006
INT_TX_000025,169.66,2024-08-07,CUST_023,LOC_015
INT_TX_000026,318.52,2024-08-07,CUST_064,LOC_011
INT_TX_000027,219.09,2024-08-01,CUST_029,LOC_008
INT_TX_000028,114.86,2024-08-03,CUST_060,LOC_012
INT_TX_000029,332.18,2024-08-06,CUST_087,LOC_007
INT_TX_000030,260.38,2024-08-06,CUST_067,LOC_009
INT_TX_000031,161.94,2024-08-06,CUST_027,LOC_003
INT_TX_000032,274.38,2024-08-05,CUST_091,LOC_018
INT_TX_000033,202.4,2024-08-04,CUST_057,LOC_015
INT_TX_000034,329.89,2024-08-04,CUST_011,LOC_005
INT_TX_000035,495.07,2024-08-01,CUST_070,LOC_014
INT_TX_000036,381.81,2024-08-06,CUST_072,LOC_001
INT_TX_000037,327.97,2024-08-03,CUST_066,LOC_019
INT_TX_000038,233.95,2024-08-04,CUST_100,LOC_010
INT_TX_000039,493.99,2024-08-02,CUST_013,LOC_001
INT_TX_000040,139.93,2024-08-06,CUST_040,LOC_015
INT_TX_000041,455.63,2024-08-04,CUST_013,LOC_013
INT_TX_000042,485.02,2024-08-02,CUST_019,LOC_005
INT_TX_000043,323.51,2024-08-02,CUST_022,LOC_018
INT_TX_000044,457.49,2024-08-06,CUST_035,LOC_012
INT_TX_000045,103.5,2024-08-07,CUST_089,LOC_018
INT_TX_000046,427.19,2024-08-04,CUST_017,LOC_006
INT_TX_000047,201.22,2024-08-04,CUST_021,LOC_002
INT_TX_000048,176.44,2024-08-01,CUST_081,LOC_007
INT_TX_000049,187.81,2024-08-01,CUST_011,LOC_008
INT_TX_000050,115.7,2024-08-05,CUST_055,LOC_018
INT_TX_000051,379.72,2024-08-04,CUST_019,LOC_014
INT_TX_000052,462.48,2024-08-04,CUST_083,LOC_018
INT_TX_000053,395.99,2024-08-01,CUST_056,LOC_010
INT_TX_000054,406.75,2024-08-06,CUST_056,LOC_008
INT_TX_000055,407.46,2024-08-07,CUST_036,LOC_011
INT_TX_000056,383.14,2024-08-01,CUST_020,LOC_001
INT_TX_000057,206.51,2024-08-07,CUST_073,LOC_006
INT_TX_000058,184.97,2024-08-02,CUST_067,LOC_005
INT_TX_000059,108.27,2024-08-05,CUST_003,LOC_019
INT_TX_000060,375.3,2024-08-01,CUST_048,LOC_001
INT_TX_000061,253.18,2024-08-06,CUST_047,LOC_015
INT_TX_000062,53.07,2024-08-01,CUST_012,LOC_012
INT_TX_000063,454.22,2024-08-05,CUST_014,LOC_009
INT_TX_000064,154.46,2024-08-05,CUST_099,LOC_020
INT_TX_000065,113.68,2024-08-04,CUST_055,LOC_003
INT_TX_000066,292.79,2024-08-02,CUST_040,LOC_011
INT_TX_000067,311.92,2024-08-03,CUST_034,LOC_020
INT_TX_000068,88.06,2024-08-05,CUST_079,LOC_017
INT_TX_000069,52.97,2024-08-04,CUST_024,LOC_006
INT_TX_000070,414.93,2024-08-03,CUST_094,LOC_015
INT_TX_000071,50.13,2024-08-07,CUST_027,LOC_016
INT_TX_000072,217.55,2024-08-03,CUST_100,LOC_011
INT_TX_000073,53.03,2024-08-06,CUST_055,LOC_012
INT_TX_000074,260.38,2024-08-04,CUST_089,LOC_002
INT_TX_000075,216.7,2024-08-02,CUST_047,LOC_008
INT_TX_000076,78.95,2024-08-07,CUST_017,LOC_016
INT_TX_000077,375.98,2024-08-07,CUST_092,LOC_013
INT_TX_000078,284.46,2024-08-02,CUST_059,LOC_001
INT_TX_000079,136.5,2024-08-07,CUST_042,LOC_008
INT_TX_000080,480.69,2024-08-07,CUST_025,LOC_007
INT_TX_000081,470.69,2024-08-06,CUST_042,LOC_005
INT_TX_000082,457.0,2024-08-01,CUST_081,LOC_020
INT_TX_000083,306.68,2024-08-06,CUST_032,LOC_011
INT_TX_000084,82.02,2024-08-07,CUST_055,LOC_019
INT_TX_000085,200.76,2024-08-07,CUST_017,LOC_009
INT_TX_000086,53.38,2024-08-03,CUST_088,LOC_015
INT_TX_000087,489.81,2024-08-05,CUST_098,LOC_006
INT_TX_000088,272.62,2024-08-07,CUST_079,LOC_011
INT_TX_000089,70.65,2024-08-03,CUST_037,LOC_018
INT_TX_000090,422.29,2024-08-03,CUST_074,LOC_006
INT_TX_000091,233.14,2024-08-01,CUST_075,LOC_005
