internal_tx_id,amount,date,customer_id,location_id,external_tx_id,gross_amount,fee,net_amount,description,_merge
INT_TX_026409,113.65,2024-08-01,CUST_008,LOC_004,EXT_TX_005393,116.48,2.83,113.65,Payment from CUST_008,both
INT_TX_004139,192.84,2024-08-01,CUST_095,LOC_005,EXT_TX_013116,194.78,1.94,192.84,Payment from CUST_095,both
INT_TX_015936,327.81,2024-08-04,CUST_029,LOC_020,EXT_TX_019056,336.31,8.5,327.81,Payment from CUST_029,both
INT_TX_003642,122.69,2024-08-04,CUST_078,LOC_011,EXT_TX_006527,124.14,1.45,122.69,Payment from CUST_078,both
INT_TX_045857,161.34,2024-08-05,CUST_017,LOC_013,EXT_TX_039849,165.74,4.4,161.34,Payment from CUST_017,both
INT_TX_037007,98.2,2024-08-05,CUST_022,LOC_015,EXT_TX_040517,99.12,0.91,98.21,Payment from CUST_022,both
INT_TX_037208,396.97,2024-08-05,CUST_083,LOC_006,EXT_TX_015252,400.86,3.88,396.98,Payment from CUST_083,both
INT_TX_034440,301.93,2024-08-06,CUST_090,LOC_008,EXT_TX_005651,303.85,1.93,301.92,Payment from CUST_090,both
INT_TX_039151,281.99,2024-08-07,CUST_001,LOC_005,EXT_TX_012784,286.41,4.41,282.0,Payment from CUST_001,both
INT_TX_028011,448.2,2024-08-07,CUST_083,LOC_008,EXT_TX_003070,451.8,3.6,448.2,Payment from CUST_083,both
